,Fund_Name,Department_Name,Object_Name,Adopted_Budget,Fiscal_Year
5238,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,187660,2021
5239,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,33900,2021
5240,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,15042,2021
5241,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,12000,2021
5242,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,7000,2021
5243,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,5100,2021
5244,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,4202,2021
5245,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,4200,2021
5246,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,4000,2021
5247,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,2300,2021
5248,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,1200,2021
5249,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,1000,2021
5250,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,1000,2021
5251,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,710,2021
5252,6100 CATS Operating,41 Charlotte Area Transit System,522250 Technology Services,111,2021
5338,6100 CATS Operating,41 Charlotte Area Transit System,522270 Software Maintenance Support,93600,2021
5352,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,70000,2021
5353,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,40000,2021
5354,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,5100,2021
5355,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,5000,2021
5356,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,4000,2021
5357,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,2500,2021
5358,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,2000,2021
5359,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,2000,2021
5360,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,1000,2021
5361,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,700,2021
5362,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,500,2021
5363,6100 CATS Operating,41 Charlotte Area Transit System,522490 Other Materials/Supplies,400,2021
5480,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,185000,2021
5481,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,130000,2021
5482,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,116766,2021
5483,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,90000,2021
5484,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,65000,2021
5485,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,12000,2021
5486,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,11000,2021
5487,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,10000,2021
5488,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,7500,2021
5489,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,7000,2021
5490,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,7000,2021
5491,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,6791,2021
5492,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,6500,2021
5493,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,6200,2021
5494,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,6146,2021
5495,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,5800,2021
5496,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,4600,2021
5497,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,4500,2021
5498,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,4000,2021
5499,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,3514,2021
5500,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,3000,2021
5501,6100 CATS Operating,41 Charlotte Area Transit System,522500 Telecommunications,2627,2021
5634,6100 CATS Operating,41 Charlotte Area Transit System,522520 Utilities,1455629,2021
5635,6100 CATS Operating,41 Charlotte Area Transit System,522520 Utilities,1430504,2021
5636,6100 CATS Operating,41 Charlotte Area Transit System,522520 Utilities,25125,2021
5686,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,2669459,2021
5687,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,1144938,2021
5688,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,239412,2021
5689,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,58346,2021
5690,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,38600,2021
5691,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,34924,2021
5692,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,33086,2021
5693,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,33086,2021
5694,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,29409,2021
5695,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,27572,2021
5696,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,25733,2021
5697,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,22058,2021
5698,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,20219,2021
5699,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,12867,2021
5700,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,7353,2021
5701,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,7353,2021
5702,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,3676,2021
5703,6100 CATS Operating,41 Charlotte Area Transit System,523000 ISP Insurance Premiums,2389,2021
5732,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,232709,2021
5733,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,22740,2021
5734,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,17459,2021
5735,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,13967,2021
5736,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,11174,2021
5737,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,3667,2021
5738,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,3320,2021
5739,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,3142,2021
5740,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,3142,2021
5741,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,3142,2021
5742,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,2794,2021
5743,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,2618,2021
5744,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,2444,2021
5745,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,2095,2021
5746,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,1920,2021
5747,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,1222,2021
5748,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,698,2021
5749,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,698,2021
5750,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,698,2021
5751,6100 CATS Operating,41 Charlotte Area Transit System,523010 ISP Insurance Administration,349,2021
5775,6100 CATS Operating,41 Charlotte Area Transit System,523020 Insurance Premiums,9800,2021
5778,6100 CATS Operating,41 Charlotte Area Transit System,523500 Licenses And Taxes,15500,2021
5779,6100 CATS Operating,41 Charlotte Area Transit System,523500 Licenses And Taxes,4000,2021
5780,6100 CATS Operating,41 Charlotte Area Transit System,523500 Licenses And Taxes,3200,2021
5815,6100 CATS Operating,41 Charlotte Area Transit System,523510 Highway Use Tax,20000,2021
5816,6100 CATS Operating,41 Charlotte Area Transit System,523510 Highway Use Tax,16000,2021
5817,6100 CATS Operating,41 Charlotte Area Transit System,523510 Highway Use Tax,15200,2021
5818,6100 CATS Operating,41 Charlotte Area Transit System,523510 Highway Use Tax,8000,2021
5819,6100 CATS Operating,41 Charlotte Area Transit System,523510 Highway Use Tax,20,2021
5849,6100 CATS Operating,41 Charlotte Area Transit System,523520 Fuel Taxes - Diesel,100,2021
5861,6100 CATS Operating,41 Charlotte Area Transit System,524000 Rental Of Land & Bldgs,47898,2021
5894,6100 CATS Operating,41 Charlotte Area Transit System,524010 ISP Rental of Land & Buildings,254207,2021
5937,6100 CATS Operating,41 Charlotte Area Transit System,524020 Rental Of Equipment,12000,2021
5938,6100 CATS Operating,41 Charlotte Area Transit System,524020 Rental Of Equipment,6800,2021
5939,6100 CATS Operating,41 Charlotte Area Transit System,524020 Rental Of Equipment,3200,2021
5940,6100 CATS Operating,41 Charlotte Area Transit System,524020 Rental Of Equipment,2121,2021
5941,6100 CATS Operating,41 Charlotte Area Transit System,524020 Rental Of Equipment,2000,2021
5942,6100 CATS Operating,41 Charlotte Area Transit System,524020 Rental Of Equipment,136,2021
6070,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,66900,2021
6071,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,62000,2021
6072,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,52900,2021
6073,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,17000,2021
6074,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,15200,2021
6075,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,15000,2021
6076,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,14200,2021
6077,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,10000,2021
6078,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,9751,2021
6079,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,9000,2021
6080,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,8657,2021
6081,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,8500,2021
6082,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,8200,2021
6083,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,7725,2021
6084,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,6724,2021
6085,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,6200,2021
6086,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,6180,2021
6087,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,6000,2021
6088,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,3500,2021
6089,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,2800,2021
6090,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,2100,2021
6091,6100 CATS Operating,41 Charlotte Area Transit System,529000 Travel & Meetings,1250,2021
6213,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,3400,2021
6214,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,3060,2021
6215,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,2597,2021
6216,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,1500,2021
6217,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,1391,2021
6218,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,1000,2021
6219,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,100,2021
6220,6100 CATS Operating,41 Charlotte Area Transit System,529010 Empl Reimb Training Exp,100,2021
6331,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,104309,2021
6332,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,24068,2021
6333,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,23729,2021
6334,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,23700,2021
6335,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,15050,2021
6336,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,12000,2021
6337,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,12000,2021
6338,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,10000,2021
6339,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,8200,2021
6340,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,5000,2021
6341,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,5000,2021
6342,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,4100,2021
6343,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,4000,2021
6344,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,3800,2021
6345,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,3000,2021
6346,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,2700,2021
6347,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,2200,2021
6348,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,2000,2021
6349,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,1545,2021
6350,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,1500,2021
6351,6100 CATS Operating,41 Charlotte Area Transit System,529020 Training Conf & Meetings,625,2021
6471,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,20000,2021
6472,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,6400,2021
6473,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,6000,2021
6474,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,5609,2021
6475,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,4500,2021
6476,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,2400,2021
6477,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,500,2021
6478,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,420,2021
6479,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,400,2021
6480,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,400,2021
6481,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,340,2021
6482,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,325,2021
6483,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,300,2021
6484,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,160,2021
6485,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,111,2021
6486,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,108,2021
6487,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,106,2021
6488,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,53,2021
6489,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,50,2021
6490,6100 CATS Operating,41 Charlotte Area Transit System,529030 Postage,50,2021
6682,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,389425,2021
6683,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,145000,2021
6684,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,50000,2021
6685,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,50000,2021
6686,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,30000,2021
6687,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,29000,2021
6688,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,23850,2021
6689,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,14000,2021
6690,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,12500,2021
6691,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,8000,2021
6692,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,6000,2021
6693,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,5300,2021
6694,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,4000,2021
6695,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,3500,2021
6696,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,3500,2021
6697,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,2350,2021
6698,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,1623,2021
6699,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,1500,2021
6700,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,1000,2021
6701,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,900,2021
6702,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,700,2021
6703,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,557,2021
6704,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,530,2021
6705,6100 CATS Operating,41 Charlotte Area Transit System,529040 Printing & Publishing,500,2021
6948,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",150000,2021
6949,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",40000,2021
6950,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",8377,2021
6951,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",4600,2021
6952,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",4000,2021
6953,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",2150,2021
6954,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",2130,2021
6955,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",2100,2021
6956,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",2000,2021
6957,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",2000,2021
6958,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",1480,2021
6959,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",1000,2021
6960,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",812,2021
6961,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",600,2021
6962,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",500,2021
6963,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",250,2021
6964,6100 CATS Operating,41 Charlotte Area Transit System,"529050 Dues,Subscr, & Prof Lic",150,2021
7073,6100 CATS Operating,41 Charlotte Area Transit System,529060 Wrecker Service Rental,15000,2021
7118,6120 CATS Debt Service,41 Charlotte Area Transit System,540120 Lease/Purch Agr-Principal,39455194,2021
7126,6120 CATS Debt Service,41 Charlotte Area Transit System,540130 Lease/Purch Agr-Interest,11293120,2021
7139,6120 CATS Debt Service,41 Charlotte Area Transit System,540140 Other Debt Srvc Chrgs,114000,2021
7183,6101 CATS Sales Tax Consolidation,41 Charlotte Area Transit System,550100 Fund Transfers,88225411,2021
7184,6121 CATS DS: Revenue Reserve,41 Charlotte Area Transit System,550100 Fund Transfers,28467162,2021
7185,6101 CATS Sales Tax Consolidation,41 Charlotte Area Transit System,550100 Fund Transfers,16975589,2021
7186,6101 CATS Sales Tax Consolidation,41 Charlotte Area Transit System,550100 Fund Transfers,779101,2021
7198,6100 CATS Operating,41 Charlotte Area Transit System,560200 Indirect Costs,6638522,2021
